ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\codecs.py:260(__init__)
512,0.000,0.000,0.000,0.000,C:\Python39\lib\abc.py:117(__instancecheck__)
15/7,0.000,0.000,0.000,0.000,C:\Python39\lib\abc.py:121(__subclasscheck__)
40,0.000,0.000,0.000,0.000,C:\Python39\lib\ntpath.py:44(normcase)
10,0.000,0.000,0.000,0.000,C:\Python39\lib\ntpath.py:61(isabs)
40,0.000,0.000,0.000,0.000,C:\Python39\lib\ntpath.py:124(splitdrive)
20,0.000,0.000,0.000,0.000,C:\Python39\lib\ntpath.py:34(_get_bothseps)
10,0.000,0.000,0.000,0.000,C:\Python39\lib\ntpath.py:180(split)
10,0.000,0.000,0.000,0.000,C:\Python39\lib\ntpath.py:214(basename)
20,0.000,0.000,0.000,0.000,C:\Python39\lib\ntpath.py:450(normpath)
10,0.000,0.000,0.000,0.000,C:\Python39\lib\ntpath.py:524(abspath)
10,0.000,0.000,0.002,0.000,C:\Python39\lib\ntpath.py:625(realpath)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\genericpath.py:16(exists)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\_bootlocale.py:11(getpreferredencoding)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\encodings\cp1252.py:22(decode)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\types.py:171(__get__)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\collections\__init__.py:419(<genexpr>)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\collections\__init__.py:345(namedtuple)
2,0.000,0.000,0.001,0.001,C:\Python39\lib\re.py:203(sub)
2,0.000,0.000,0.001,0.000,C:\Python39\lib\re.py:233(findall)
283,0.000,0.000,0.001,0.000,C:\Python39\lib\re.py:243(finditer)
287,0.000,0.000,0.002,0.000,C:\Python39\lib\re.py:289(_compile)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:358(__call__)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:670(__new__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:792(value)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:249(_compile_charset)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:977(__and__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:276(_optimize_charset)
7/3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:71(_compile)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:423(_simple)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:432(_generate_overlap_table)
4,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:453(_get_iscased)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:461(_get_literal_prefix)
1,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:492(_get_charset_prefix)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:536(_compile_info)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:595(isstring)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:598(_code)
