ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1814921,0.126,0,0.126,0,C:\Python39\lib\copy.py:182(_deepcopy_atomic)
8277,0.005,0,0.114,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Solving_Algorithms\solver.py:280(reproduce_model)
14442,0.029,0,0.112,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Progress_Tracking\sequential_progress_tracker.py:13(add_operation)
33342/2586,0.041,0,0.11,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Parameter_Selection\ParameterSelector.py:81(__create_combinations)
8277,0.02,0,0.108,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\default_model.py:44(reproduce)
72397,0.073,0,0.095,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\problem_predicate.py:6(__init__)
1380385/1380359,0.093,0,0.095,0,{built-in method builtins.len}
155052,0.065,0,0.091,0,C:\Python39\lib\copy.py:242(_keep_alive)
14442,0.028,0,0.089,0,C:\Python39\lib\queue.py:122(put)
185522/126052,0.085,0,0.085,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Parameter_Selection\ParameterSelector.py:58(__check_type)
13327,0.003,0,0.071,0,C:\Python39\lib\queue.py:238(_get)
14063,0.04,0,0.071,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Parameter_Selection\ParameterSelector.py:32(compare_parameters)
13327,0.026,0,0.067,0,{built-in method _heapq.heappop}
448376,0.065,0,0.065,0,{method 'keys' of 'dict' objects}
14442,0.029,0,0.064,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Progress_Tracking\action_tracker.py:28(__str__)
5636,0.006,0,0.05,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\state.py:12(add_element)
144533,0.049,0,0.049,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\model.py:119(__lt__)
8277,0.039,0,0.046,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Progress_Tracking\sequential_progress_tracker.py:24(reproduce)
33342,0.038,0,0.044,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Solving_Algorithms\solver.py:254(reproduce_dict)
27769,0.026,0,0.041,0,C:\Python39\lib\threading.py:351(notify)
213806,0.026,0,0.04,0,{built-in method builtins.isinstance}
8278,0.008,0,0.039,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\default_model.py:15(__init__)
53380,0.028,0,0.033,0,{method 'format' of 'str' objects}
8278,0.02,0,0.03,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\model.py:15(__init__)
30756,0.012,0,0.024,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\model.py:110(merge_dictionaries)
16626,0.02,0,0.023,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\subtasks.py:23(add_given_parameters)
16660,0.016,0,0.021,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\subtasks.py:9(__init__)
14442,0.005,0,0.019,0,C:\Python39\lib\queue.py:235(_put)
1,0,0,0.018,0.018,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:45(parse_problem)
1,0,0,0.017,0.017,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:53(parse_problem)
72397,0.017,0,0.017,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\problem_predicate.py:21(<listcomp>)
27769,0.01,0,0.016,0,C:\Python39\lib\threading.py:256(__enter__)
27769,0.009,0,0.016,0,C:\Python39\lib\threading.py:271(_is_owned)
16555,0.014,0,0.016,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Progress_Tracking\sequential_progress_tracker.py:7(__init__)
17280,0.005,0,0.014,0,C:\Python39\lib\abc.py:117(__instancecheck__)
1,0,0,0.014,0.014,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:420(_parse_initial_state)
14442,0.012,0,0.014,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Progress_Tracking\action_tracker.py:7(__init__)
14442,0.007,0,0.014,0,{built-in method _heapq.heappush}
27769,0.009,0,0.013,0,C:\Python39\lib\threading.py:259(__exit__)
259,0,0,0.013,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\problem.py:31(add_to_initial_state)
12338,0.009,0,0.011,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\default_model.py:22(insert_modifier)
13327,0.004,0,0.011,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Search_Queues\search_queue.py:69(get_num_search_models)
13327,0.006,0,0.01,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\default_model.py:18(get_next_modifier)
17280,0.009,0,0.009,0,{built-in method _abc._abc_instancecheck}
28884,0.009,0,0.009,0,{method 'replace' of 'str' objects}
5622,0.005,0,0.007,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\state.py:18(_add_element_to_index)
27769,0.007,0,0.007,0,{method '__enter__' of '_thread.lock' objects}
30756,0.007,0,0.007,0,{method 'copy' of 'dict' objects}
