ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.068,0.068,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:53(parse_problem)
2,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:77(_add_types_to_domain)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:76(_parse_type)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:100(_parse_predicates)
14,0.000,0.000,0.001,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:109(_parse_action)
28,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:135(__extract_effect_values)
27/14,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:134(_parse_effects)
10,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:174(_parse_task)
16,0.000,0.000,0.001,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:191(_parse_method)
100,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:270(<listcomp>)
31,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:285(<listcomp>)
156/31,0.000,0.000,0.001,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:251(__parse_conditions)
16,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:335(<listcomp>)
29,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:340(<listcomp>)
31,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:339(<listcomp>)
31,0.000,0.000,0.001,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:250(_parse_precondition)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:345(__add_constants_to_problem)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:344(_parse_constant)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:370(_post_domain_parsing_grounding)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:382(_set_problem_name)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:392(_check_domain_name)
8,0.001,0.000,0.001,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:403(_add_objects_to_problem)
1,0.000,0.000,0.001,0.001,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:402(_parse_objects)
259,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:423(<listcomp>)
1,0.000,0.000,0.011,0.011,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:420(_parse_initial_state)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:426(_parse_htn_tag)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:459(_parse_goal_state)
2,0.000,0.000,0.057,0.029,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:465(_scan_tokens)
39,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:8(__init__)
42,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:15(add_operator_condition)
100,0.000,0.000,0.001,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:23(add_predicate_condition)
8,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:68(add_given_params_predicate_condition)
2,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:77(add_given_params_operator_condition)
142,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:84(_final_condition_addition_checks)
26415/16519,0.006,0.000,0.492,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:92(evaluate_given_params_conditions)
44986/42104,0.032,0.000,3.222,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:97(evaluate)
142,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\conditions.py:8(__init__)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Search_Queues\Greedy_Best_First_Search_Queue.py:5(__init__)
14442,0.002,0.000,0.002,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Search_Queues\Greedy_Best_First_Search_Queue.py:8(_calc_ranking)
100,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\conditions.py:21(<listcomp>)
100,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\conditions.py:17(__init__)
66750,0.074,0.000,3.082,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\conditions.py:24(evaluate)
42,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\conditions.py:94(__init__)
105,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\conditions.py:100(add_child)
58140/36562,0.036,0.000,3.143,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\conditions.py:107(<listcomp>)
64160/42582,0.062,0.000,3.187,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\conditions.py:104(evaluate)
26,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\predicate.py:9(__init__)
86937320/43468660,12.017,0.000,12.017,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\predicate.py:18(__eq__)
298,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\reg_parameter.py:6(__init__)
8,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\Type.py:2(__init__)
298,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\parameter.py:2(__init__)
33,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\Object.py:5(__init__)
2720951,0.615,0.000,0.615,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\Object.py:15(__eq__)
3842788,0.326,0.000,0.326,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\Object.py:24(__str__)
40,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\modifier.py:14(__init__)
30,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\modifier.py:31(add_preconditions)
25,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\modifier.py:38(get_number_parameters)
