ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\runner.py:84(set_search_queue)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\runner.py:130(__check_file_exists)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\runner.py:138(__get_suffix)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Solver\Solving_Algorithms\partial_order_novelty.py:10(__init__)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\runner.py:22(__init__)
757825/865,1.300,0.000,2.440,0.003,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\copy.py:128(deepcopy)
737450,0.129,0.000,0.129,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\copy.py:182(_deepcopy_atomic)
19510,0.427,0.000,2.272,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\copy.py:201(_deepcopy_list)
865,0.022,0.000,2.433,0.003,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\copy.py:227(_deepcopy_dict)
20375,0.022,0.000,0.030,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\copy.py:243(_keep_alive)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:17(__init__)
39,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:8(__init__)
1,0.000,0.000,0.011,0.011,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:20(parse_domain)
1,0.000,0.000,0.020,0.020,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:53(parse_problem)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:77(_add_types_to_domain)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:76(_parse_type)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:100(_parse_predicates)
14,0.000,0.000,0.002,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:109(_parse_action)
28,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:135(__extract_effect_values)
27/14,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:134(_parse_effects)
10,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:174(_parse_task)
16,0.000,0.000,0.003,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:191(_parse_method)
109,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:270(<listcomp>)
31,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:285(<listcomp>)
165/31,0.001,0.000,0.003,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:251(__parse_conditions)
16,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:335(<listcomp>)
31,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:339(<listcomp>)
29,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:340(<listcomp>)
31,0.000,0.000,0.003,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:250(_parse_precondition)
